vehicle_number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,flag_at_fl,s1_seconds,s2_seconds,s3_seconds,im1a_time,im1a_elapsed,im1_time,im1_elapsed,im2a_time,im2a_elapsed,im2_time,im2_elapsed,im3a_time,im3a_elapsed,fl_time,fl_elapsed,unnamed: 41,tyre_age,elapsed_seconds,TIME_UTC_SECOND,TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,Unnamed: 9,lap_time_seconds,START_UTC_SECONDS,lap,Laptrigger_lapdist_dls,Steering_Angle,VBOX_Lat_Min,VBOX_Long_Minutes,accx_can,accy_can,aps,gear,nmot,pbrake_f,pbrake_r,speed,incident,best_lap_time,loss_per_lap
2,1,1,0 days 00:01:45.842000,0,,38.340,0,34.572,0,32.930,0,133.5,1:45.842,2025-11-10 08:51:08.158,0:38.340,0:34.572,0:32.930,201.1,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,38.34,34.572,32.93,27.629,27.629,10.711,38.340,19.545,57.885,15.027,1:12.912,13.013,1:25.925,19.917,1:45.842,,0,2.403,1760791796.403,,,,,,,,,,,105.842,1760791690.561,1,2714.7087912087914,-1.6943359912015399,39.79401376727914,-86.23618874223409,0.00317816882045642,-0.1257088259554578,31.677594171020072,1.8559252130877097,5203.148351648351,2.0589730547154246,2.103949683805334,88.99116918844567,0,0 days 00:01:40.305000,5.537
2,1,2,0 days 00:01:40.501000,0,,34.073,0,33.64,0,32.788,0,140.6,3:26.343,2025-11-10 08:52:48.659,0:34.073,0:33.640,0:32.788,211.4,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.073,33.64,32.788,23.915,23.915,10.158,34.073,19.171,53.244,14.469,1:07.713,12.917,1:20.630,19.871,1:40.501,,1,102.904,1760791896.904,,,,,,,,,,,100.501,1760791796.403,2,2013.2136363636364,-1.679170451105056,39.79386324973457,-86.23578957474813,-0.006619134120496518,-0.11618649712382682,31.755413260672118,1.8858613381774145,5743.804545454545,2.701584922797457,2.771575840145322,97.87426626323752,0,0 days 00:01:40.305000,0.196
2,1,3,0 days 00:01:40.480000,0,,33.956,2,33.651,0,32.873,0,140.6,5:06.823,2025-11-10 08:54:29.139,0:33.956,0:33.651,0:32.873,213.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,33.956,33.651,32.873,23.825,23.825,10.131,33.956,19.027,52.983,14.624,1:07.607,13.154,1:20.761,19.719,1:40.480,,2,203.384,1760791997.384,,,,,,,,,,,100.47999999999999,1760791896.904,3,1973.7877551020408,-4.973888208894329,39.7939512392104,-86.23580994561271,0.013775193798449612,-0.21759893920848636,76.56350061199511,2.817217462260302,6366.434693877551,7.093871889024888,7.172221542227663,132.4847755102041,1,0 days 00:01:40.305000,0.175
2,1,4,0 days 00:01:40.305000,2,,34.044,0,33.506,0,32.755,0,140.9,6:47.128,2025-11-10 08:56:09.444,0:34.044,0:33.506,0:32.755,213.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.044,33.506,32.755,23.862,23.862,10.182,34.044,18.969,53.013,14.537,1:07.550,12.911,1:20.461,19.844,1:40.305,,3,303.689,1760792097.689,,,,,,,,,,,100.305,1760791997.3839998,4,1976.901467505241,-3.834465408805032,39.79399023955723,-86.23571974076565,0.0009262054507337521,-0.2242029350104822,75.22739203354297,2.8238993710691824,6435.07966457023,8.27155136268344,8.366591194968553,134.2782389937107,1,0 days 00:01:40.305000,0.0
2,1,5,0 days 00:01:41.932000,0,,34.225,0,,0,,0,138.6,8:29.060,2025-11-10 08:57:51.376,0:34.225,,,212.2,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.225,,,23.994,23.994,10.231,34.225,19.046,53.271,,,,1:22.173,19.759,1:41.932,,4,405.621,1760792199.621,,,,,,,,,,,101.932,1760792097.6890001,5,2001.4512711864406,-4.085103681760474,39.79393258177523,-86.235715216315,0.003520101565806178,-0.23198815065594583,74.41305120609395,2.8793906051629286,6469.103813559322,7.588076597545493,7.668929327126534,136.41655391120509,1,0 days 00:01:40.305000,1.627
2,1,6,0 days 00:01:40.965000,0,,34.519,0,33.89,0,32.556,0,140.0,10:10.025,2025-11-10 08:59:32.341,0:34.519,0:33.890,0:32.556,214.3,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.519,33.89,32.556,24.015,24.015,10.504,34.519,19.313,53.832,14.577,1:08.409,12.884,1:21.293,19.672,1:40.965,,5,506.586,1760792300.586,,,,,,,,,,,100.965,1760792199.621,6,2011.0372670807453,-4.368200663349917,39.79389751016797,-86.23568655365142,0.0019195688225538976,-0.21649709784411278,73.5404311774461,2.828358208955224,6422.395445134575,6.478186152570481,6.557657545605307,134.05871635610765,1,0 days 00:01:40.305000,0.66
2,1,7,0 days 00:01:40.649000,0,,34.570,0,33.452,2,32.627,0,140.4,11:50.674,2025-11-10 09:01:12.990,0:34.570,0:33.452,0:32.627,213.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.57,33.452,32.627,24.333,24.333,10.237,34.570,18.881,53.451,14.571,1:08.022,12.867,1:20.889,19.76,1:40.649,,6,607.235,1760792401.235,,,,,,,,,,,100.649,1760792300.586,7,1997.8428874734607,-4.018089171974522,39.793908989454785,-86.23574343476832,0.004670063694267516,-0.22438726114649682,75.23877282377919,2.851380042462845,6579.721868365181,9.60763269639066,9.70595541401274,137.54957537154988,1,0 days 00:01:40.305000,0.344
2,1,8,0 days 00:01:41.012000,0,,34.600,0,33.594,0,32.818,0,139.9,13:31.686,2025-11-10 09:02:54.002,0:34.600,0:33.594,0:32.818,213.0,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.6,33.594,32.818,24.273,24.273,10.327,34.600,19.096,53.696,14.498,1:08.194,13.029,1:21.223,19.789,1:41.012,,7,708.247,1760792502.247,,,,,,,,,,,101.012,1760792401.235,8,2047.5891304347826,-4.2820993031358885,39.7938640823763,-86.23567584167374,0.0036763937282229954,-0.22854660278745648,73.07998257839722,2.8349303135888504,6535.771739130435,7.47613893728223,7.586814024390244,136.19069565217393,1,0 days 00:01:40.305000,0.707
2,1,9,0 days 00:01:40.324000,0,,34.095,0,33.677,0,32.552,2,140.9,15:12.010,2025-11-10 09:04:34.326,0:34.095,0:33.677,0:32.552,211.4,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.095,33.677,32.552,23.93,23.93,10.165,34.095,19.135,53.230,14.542,1:07.772,12.837,1:20.609,19.715,1:40.324,,8,808.571,1760792602.571,,,,,,,,,,,100.324,1760792502.2470002,9,1998.8807531380753,-3.238638262322473,39.793907911257634,-86.23574547699918,0.004474101921470343,-0.2246152882205514,75.14486633249791,2.8609022556390977,6415.9037656903765,7.013253968253968,7.13765246449457,135.13331941544885,1,0 days 00:01:40.305000,0.019
2,1,10,0 days 00:01:40.537000,0,,34.109,0,33.634,0,32.794,0,140.6,16:52.547,2025-11-10 09:06:14.863,0:34.109,0:33.634,0:32.794,211.4,Will Robusto,,Am,,RVA Graphics Motorsports by Speed Syndicate,Toyota Gazoo Racing,GF,34.109,33.634,32.794,23.946,23.946,10.163,34.109,19.077,53.186,14.557,1:07.743,12.981,1:20.724,19.813,1:40.537,,9,909.108,1760792703.108,,,,,,,,,,,100.537,1760792602.571,10,1995.1513859275053,-7.880656156795911,39.794006875895114,-86.23578756923213,0.01047933532168726,-0.22098295696634002,74.50747763101832,2.8721772475500638,6433.413646055437,6.871864081806561,6.970668939071155,135.16629787234044,1,0 days 00:01:40.305000,0.232
