vehicle_number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,pit_time,class,group,manufacturer,flag_at_fl,s1_seconds,s2_seconds,s3_seconds,im1a_time,im1a_elapsed,im1_time,im1_elapsed,im2a_time,im2a_elapsed,im2_time,im2_elapsed,im3a_time,im3a_elapsed,fl_time,fl_elapsed,tyre_age,elapsed_seconds,TIME_UTC_SECOND,TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,lap_time_seconds,START_UTC_SECONDS,lap,Steering_Angle,accx_can,accy_can,ath,gear,nmot,pbrake_f,pbrake_r,speed,incident,best_lap_time,loss_per_lap
3,1,1,0 days 00:02:40.812000,0,,50.835,0,52.061,0,57.916,0,134.7,2:40.812,2025-11-11 10:07:39.187,0:50.835,0:52.061,0:57.916,,,Am,,Toyota Gazoo Racing,FCY,50.835,52.061,57.916,22.349,22.349,28.486,50.835,29.187,1:20.022,22.874,1:42.896,33.336,2:16.232,24.58,2:40.812,0,10.809,1747577160.809,,,,,,,,,,160.812,1747576999.997,1,-3.358459205691958,-0.003493555724033358,-0.00491870298011314,27.433267626990144,0.6633230302676854,1610.4043731778427,4.257172100075815,4.414163702105325,28.242486880466473,1,0 days 00:02:27.574000,13.238
3,1,2,0 days 00:03:41.261000,0,,1:05.754,0,1:16.876,0,1:18.631,0,97.9,6:22.073,2025-11-11 10:11:20.448,1:05.754,1:16.876,1:18.631,,,Am,,Toyota Gazoo Racing,GF,65.754,76.876,78.631,29.403,29.403,36.351,1:05.754,42.127,1:47.881,34.749,2:22.630,54.271,3:16.901,24.36,3:41.261,1,232.07,1747577382.07,,,,,,,,,,221.261,1747577160.809,2,-3.9311644791957554,-0.0017422507679419154,-0.09211225914549008,71.59353532532812,3.0508237922368053,6127.328212290503,5.3963445964814305,5.526939402401564,133.56421787709496,0,0 days 00:02:27.574000,73.687
3,1,3,0 days 00:02:29.162000,0,,44.980,0,51.333,0,52.849,0,145.3,8:51.235,2025-11-11 10:13:49.610,0:44.980,0:51.333,0:52.849,,,Am,,Toyota Gazoo Racing,GF,44.98,51.333,52.849,17.907,17.907,27.073,44.980,28.911,1:13.891,22.422,1:36.313,33.178,2:09.491,19.671,2:29.162,2,381.232,1747577531.232,,,,,,,,,,149.162,1747577382.0700002,3,-3.0569147874675715,0.0028269806425863108,-0.06288185990820196,34.3403771702255,2.2518459389343444,5125.6556886227545,1.7158680902015566,1.8052743963280782,95.82299401197605,0,0 days 00:02:27.574000,1.588
3,1,4,0 days 00:02:28.068000,0,,44.320,0,50.944,0,52.804,0,146.3,11:19.303,2025-11-11 10:16:17.678,0:44.320,0:50.944,0:52.804,,,Am,,Toyota Gazoo Racing,GF,44.32,50.944,52.804,18.075,18.075,26.245,44.320,28.760,1:13.080,22.184,1:35.264,33.123,2:08.387,19.681,2:28.068,3,529.3,1747577679.3,,,,,,,,,,148.068,1747577531.2319999,4,-4.685790408525755,0.006466252220248668,-0.1106101243339254,78.53906749555951,3.269982238010657,6269.03550295858,5.934866785079929,6.04598134991119,141.71545857988167,1,0 days 00:02:27.574000,0.494
3,1,5,0 days 00:02:29.327000,0,,44.714,0,51.813,0,52.800,0,145.1,13:48.630,2025-11-11 10:18:47.005,0:44.714,0:51.813,0:52.800,,,Am,,Toyota Gazoo Racing,GF,44.714,51.813,52.8,18.051,18.051,26.663,44.714,29.670,1:14.384,22.143,1:36.527,33.198,2:09.725,19.602,2:29.327,4,678.627,1747577828.627,,,,,,,,,,149.327,1747577679.3000002,5,-5.092461263408821,0.003331942789034565,-0.11266656734207389,79.70651072705601,3.284564958283671,6282.687034277198,7.037756257449344,7.163648688915376,142.54511177347243,1,0 days 00:02:27.574000,1.753
3,1,6,0 days 00:02:27.674000,0,,44.111,0,50.898,0,52.665,0,146.7,16:16.304,2025-11-11 10:21:14.679,0:44.111,0:50.898,0:52.665,,,Am,,Toyota Gazoo Racing,GF,44.111,50.898,52.665,17.899,17.899,26.212,44.111,28.788,1:12.899,22.11,1:35.009,33.161,2:08.170,19.504,2:27.674,5,826.301,1747577976.301,,,,,,,,,,147.674,1747577828.627,6,-4.5199290360733295,0.007932879952690717,-0.10947220579538734,80.12899172087522,3.3246599645180366,6189.158518518519,6.370252808988764,6.501975162625666,141.24124444444445,1,0 days 00:02:27.574000,0.1
3,1,7,0 days 00:02:28.923000,0,,44.316,0,51.640,0,52.967,0,145.5,18:45.227,2025-11-11 10:23:43.602,0:44.316,0:51.640,0:52.967,,,Am,,Toyota Gazoo Racing,GF,44.316,51.64,52.967,17.772,17.772,26.544,44.316,29.364,1:13.680,22.276,1:35.956,33.406,2:09.362,19.561,2:28.923,6,975.224,1747578125.224,,,,,,,,,,148.923,1747577976.3009999,7,-5.523450134770889,0.010833782569631627,-0.11218897873614854,78.82719077568134,3.2656483977238695,6321.271364317841,6.0751901766996115,6.205309973045821,142.70382308845578,1,0 days 00:02:27.574000,1.349
3,1,8,0 days 00:02:27.829000,0,,43.882,0,51.186,0,52.761,0,146.6,21:13.056,2025-11-11 10:26:11.431,0:43.882,0:51.186,0:52.761,,,Am,,Toyota Gazoo Racing,GF,43.882,51.186,52.761,17.841,17.841,26.041,43.882,29.034,1:12.916,22.152,1:35.068,33.147,2:08.215,19.614,2:27.829,7,1123.053,1747578273.053,,,,,,,,,,147.829,1747578125.224,8,-4.690790642582174,0.00331359194551377,-0.10687562925673674,78.71554634290791,3.2537755404204916,6262.10650887574,6.564116079360379,6.7021838910275395,141.5965976331361,1,0 days 00:02:27.574000,0.255
3,1,9,0 days 00:02:27.656000,0,,43.811,2,51.062,0,52.783,0,146.7,23:40.712,2025-11-11 10:28:39.087,0:43.811,0:51.062,0:52.783,,,Am,,Toyota Gazoo Racing,GF,43.811,51.062,52.783,17.780,17.780,26.031,43.811,28.868,1:12.679,22.194,1:34.873,33.122,2:07.995,19.661,2:27.656,8,1270.709,1747578420.709,,,,,,,,,,147.656,1747578273.0530002,9,-4.614571513884742,0.004826813974320693,-0.1078769782024485,78.35169005673335,3.264556584054942,6307.067164179104,6.231401911018215,6.385986861749776,142.60407462686567,1,0 days 00:02:27.574000,0.082
3,1,10,0 days 00:02:28.037000,0,,44.007,0,51.023,0,53.007,0,146.4,26:08.749,2025-11-11 10:31:07.124,0:44.007,0:51.023,0:53.007,,,Am,,Toyota Gazoo Racing,GF,44.007,51.023,53.007,17.802,17.802,26.205,44.007,28.798,1:12.805,22.225,1:35.030,33.393,2:08.423,19.614,2:28.037,9,1418.746,1747578568.746,,,,,,,,,,148.037,1747578420.709,10,-5.326213301378071,0.008015278609946077,-0.11063900539245057,80.95942180946675,3.2768124625524266,6310.244011976048,6.3004298981426,6.450551228280407,142.9168862275449,1,0 days 00:02:27.574000,0.463
